experiment_id, member       , label                                     , lr    , gamma, batch_size, eps_start, eps_end, eps_decay_steps, mean_reward_last50, training_time_s, total_episodes, noted_behavior
           11, Noella Umwali, Small Batch (16)                          , 0.0001,  0.99,         16,       1.0,    0.05,          100000,               9.34,           869.1,           2120, "Small Batch (16): Very noisy gradient updates; reward oscillates heavily, slow net improvement."
           12, Noella Umwali, Large Batch (128)                         , 0.0001,  0.99,        128,       1.0,    0.05,          100000,              17.18,           950.7,           1893, Large Batch (128): Smoother updates than baseline; slightly slower per-step but more stable reward curve.
           13, Noella Umwali, XL Batch (256)                            , 0.0001,  0.99,        256,       1.0,    0.05,          100000,              14.52,          1135.6,           1922, XL Batch (256): Most stable curve yet; agent is consistent but conservative — peaks lower than 128.
           14, Noella Umwali, Low Gamma + Med Batch                     , 0.0001,  0.95,         64,       1.0,    0.05,          100000,              18.04,           850.9,           1876, Low Gamma + Med Batch (0.95/64): Short-sighted play with moderate sample diversity; reward improves early then plateaus.
           15, Noella Umwali, Very Low Gamma + Med Batch                , 0.0001,  0.9 ,         64,       1.0,    0.05,          100000,              16.0 ,           837.9,           1941, Very Low Gamma + Med Batch (0.90/64): Myopic; ignores long chains of bricks. Worst among gamma variants.
           16, Noella Umwali, Fast Eps Decay + Med Batch                , 0.0001,  0.99,         64,       1.0,    0.05,           50000,              14.56,           861.8,           1681, Fast Eps Decay (50k/64): Commits to exploitation too early; gets stuck in a local strategy with no exploration fallback.
           17, Noella Umwali, High Eps End + Med Batch                  , 0.0001,  0.99,         64,       1.0,    0.1 ,          100000,              10.26,           837.8,           2005, High Eps End (0.10/64): Keeps exploring long after learning — reduces peak reward but improves robustness.
           18, Noella Umwali, Slightly Low Gamma + Large Batch          , 0.0001,  0.97,        128,       1.0,    0.05,          100000,              16.96,           929.2,           1887, "Slightly Low Gamma + Large Batch (0.97/128): Good balance; larger batch smooths gradients, 0.97 still plans ahead."
           19, Noella Umwali, Low Eps Start                             , 0.0001,  0.99,         32,       0.5,    0.05,          100000,              14.2 ,           839.1,           1701, Low Eps Start (0.5/32): Agent exploits too early with a small batch — misses important early exploration.
           20, Noella Umwali, Best Low Gamma + Med Batch + Low Eps End, 0.0001,  0.97,         64,       1.0,    0.02,          120000,              15.36,           842.1,           2041, "BEST Low Gamma + Med Batch + Low Eps End (0.97/64/0.02): Ideal mix: enough exploration early, tight exploitation late."
